date,sales,month,quarter,year,rolling_mean_3,month_name
1/1/2021,38089.78,1,1,2021,33883.66,Jan-21
2/1/2021,39583.02,2,1,2021,37066.56,Feb-21
3/1/2021,43441.1,3,1,2021,40673.97,Mar-21
4/1/2021,46793.55,4,2,2021,40371.3,Apr-21
5/1/2021,45653.7,5,2,2021,43272.56,May-21
6/1/2021,45374.72,6,2,2021,45296.12,Jun-21
7/1/2021,40116.05,7,3,2021,45940.66,Jul-21
8/1/2021,35972.81,8,3,2021,43714.82,Aug-21
9/1/2021,38050.57,9,3,2021,40487.86,Sep-21
10/1/2021,35035.58,10,4,2021,38046.48,Oct-21
11/1/2021,37215.27,11,4,2021,36352.99,Nov-21
12/1/2021,50426.74,12,4,2021,36767.14,Dec-21
1/1/2022,44493.92,1,1,2022,40892.53,Jan-22
2/1/2022,50167.2,2,1,2022,44045.31,Feb-22
3/1/2022,51746,3,1,2022,48362.62,Mar-22
4/1/2022,55856.72,4,2,2022,48802.38,Apr-22
5/1/2022,53780.27,5,2,2022,52589.97,May-22
6/1/2022,52100.6,6,2,2022,53794.33,Jun-22
7/1/2022,48190.36,7,3,2022,53912.53,Jul-22
8/1/2022,48564.35,8,3,2022,51357.08,Aug-22
9/1/2022,43496.9,9,3,2022,49618.44,Sep-22
10/1/2022,41474.56,10,4,2022,46750.54,Oct-22
11/1/2022,45979.64,11,4,2022,44511.94,Nov-22
12/1/2022,58552.04,12,4,2022,43650.37,Dec-22
1/1/2023,53351.14,1,1,2023,48668.75,Jan-23
2/1/2023,54593.54,2,1,2023,52627.61,Feb-23
3/1/2023,59170.75,3,1,2023,55498.91,Mar-23
4/1/2023,63163.01,4,2,2023,55705.14,Apr-23
5/1/2023,63460.65,5,2,2023,58975.76,May-23
6/1/2023,60441.77,6,2,2023,61931.47,Jun-23
7/1/2023,56718.64,7,3,2023,62355.14,Jul-23
8/1/2023,52979.74,8,3,2023,60207.02,Aug-23
9/1/2023,48912.24,9,3,2023,56713.38,Sep-23
10/1/2023,49609.54,10,4,2023,52870.21,Oct-23
11/1/2023,51758.62,11,4,2023,50500.51,Nov-23
12/1/2023,69580.77,12,4,2023,50093.47,Dec-23
